" and ","እና"
"Add Subpackage dependency","የንዑስ ጥቅል ጥገኝነት አክል"
"Add new store view map","አዲስ የሱቅ እይታ ካርታ አክል"
"Add new website map","አዲስ የድር ጣቢያ ካርታ አክል"
"Address Type:","የአድራሻ አይነት፦"
"All","ሁሉም"
"All Websites","ሁሉም ድረ-ገጾች"
"All fields","ሁሉም መስኮች"
"Archive file name:","የፋይል ስም በማህደር ያዝ፦"
"Are you sure that you want to delete this template?","እርግጠኛ ነዎት ይህን አብነት መሰረዝ ይፈልጋሉ?"
"Are you sure that you want to strip tags?","እርግጠኛ ነዎት የተሰጡትን መለያዎች ማንሳት ይፈልጋሉ?"
"Attribute Set Name:","የአይነታ ስብስብ ስም፦"
"Attributes","አይነታዎች"
"Available Products","የሚገኙ ምርቶች"
"Big Image","ትልቅ ምስል"
"Billing Address","የመክፈያ አድራሻ"
"Bundle Items","እስር ንጥሎች"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","ተለዋዋጭ የዋጋ አሰጣጥ ያለው እስር ብጁ የተገለጹ አማራጮችን አያካትም። አማራጮች አይቀመጡም።"
"CSV / Tab separated","CSV / በTab የተለዩ"
"Card Verification Number","የካርድ ማረጋገጫ ቁጥር"
"Catalog","ካታሎግ"
"Channel","ሰርጥ"
"Channel:","ሰርጥ፦"
"Choose Store View","የሱቅ እይታ ምረጥ"
"Client Session timeout (sec.)","የደንበኛ ክፍለጊዜ ማብቂያ (ሰኮንድ)"
"Close","ዝጋ"
"Comments History","የአስተያየቶች ታሪክ"
"Confirmed email:","የተረጋገጠ ኢሜይል፦"
"Connect with the Magento Community","ከMagento ማህበረሰብ ጋር ይገናኙ"
"Contents","ይዘቶች"
"Country:","አገር፦"
"Create New Staging Store View","አዲስ የሱቅ እይታ አደረጃጀት ፍጠር"
"Create a backup","ምትኬ ፍጠር"
"Created <strong>%s</strong> items","<strong>%s</strong> ንጥሎች ተፈጥረዋል"
"Credit Card Number","የክሬዲት ካርድ ቁጥር"
"Credit Card Number: xxxx-%s","የክሬዲት ካርድ ቁጥር፦ xxxx-%s"
"Credit Card Type","የክሬዲት ካርድ አይነት"
"Credit Card Type: %s","የክሬዲት ካርድ አይነት፦ %s"
"Credit Memo History","የክሬዲት ማስታወሻ ታሪክ"
"Credit Memo Totals","የክሬዲት ማስታወሻ ድምሮች"
"Current Configuration Scope:","የአሁኑ ውቅር ስፋት፦"
"Current Release Information","የአሁኑ የተለቀቀ መረጃ"
"Custom","ብጁ"
"Customer Group:","የደንበኛ ቡድን፦"
"Customer Since:","ደንበኛ ከዚህ ጀምሮ፦"
"Customers","ደንበኞች"
"DHTML Date/Time Selector","DHTML ቀን/ሰዓት መምረጫ"
"Dashboard","ዳሽቦርድ"
"Data Format","የውሂብ ቅርጸት"
"Data transfer:","ውሂብ ማስተላለፍ፦"
"Date selection:","የቀን ምርጫ፦"
"Date selector","ቀን መምረጫ"
"Date:","ቀን፦"
"Decimal separator:","የአስርዮሽ መለያያ፦"
"Default (Admin) Values","ነባሪ (አስተዳዳሪ) እሴቶች"
"Default Values","ነባሪ እሴቶች"
"Delete","ሰርዝ"
"Dependencies","ጥገኝነቶች"
"Description:","መግለጫ፦"
"Direction:","አቅጣጫ፦"
"Display %s first","በመጀመሪያ %s አሳይ"
"Distributed under GNU LGPL. See %s for details.","በGNU LGPL ስር የተሰራጨ።  ለዝርዝር መረጃ %s ይመልከቱ።"
"Done By:","የተከናወነው፦"
"Done by:","የተከናወነው፦"
"Download Remote File","የሩቅ ፋይል አውርድ"
"Drag to move","ለማንቀሳቀስ ይጎትቱ"
"Edit Role","ሚና አርትእ"
"Edit User '%s'","ተጠቃሚ አርትእ «%s»"
"Email","ኢሜይል"
"Email Preview","የኢሜይል ቅድመ ዕይታ"
"Email:","ኢሜይል፦"
"Enclose Values In:","እሴቶችን አያይዘህ በዚህ ላክ፦"
"Entity type:","የአካል አይነት፦"
"Excl. Tax","ቀረጥ አታካት"
"Exclude","አታካት"
"Expiration Date","ጊዜው የሚያበቃበት ቀን"
"Expiration Date: %s/%s","ጊዜው የሚያበቃበት ቀን፦ %s/%s"
"Export","ወደ ውጪ ላክ"
"Export Filters","ወደ ውጪ መላኪያ ማጣሪያዎች"
"Export to:","ወደዚህ ላክ፦"
"Export:","ወደ ውጪ ላክ፦"
"Extension","ቅጥያ"
"Extensions","ቅጥያዎች"
"FTP Host[:Port]","FTP አስተናጋጅ[:ፖርት]"
"Field Mapping","የመስክ ማጓደኛ"
"File Information","የፋይል መረጃ"
"File name:","የፋይል ስም፦"
"Final Price","የመጨረሻ ዋጋ"
"Finished items creation.","ንጥሎችን መፍጠር ተጨርሷል።"
"First Name:","የመጀመሪያ ስም፦"
"For latest version visit: %s","በጣም ለቅርብ ጊዜው ስሪት ጉብኝት፦ %s"
"From","ከ"
"General Settings","አጠቃላይ ቅንብሮች"
"Get help for this page","ስለዚህ ገጽ እገዛ ያግኙ"
"Global Record Search","ሁሉአቀፍ የመዝገብ ፍለጋ"
"Go Today","ዛሬ ይጀምሩ"
"Google Base Items","የGoogle Base ንጥሎች"
"Group:","ቡድን፦"
"Help Us Keep Magento Healthy - Report All Bugs","የMagento ጤንነትን በመጠበቅ ያግዙን - ሁሉንም ሳንካዎች ሪፖርት ያድርጉ"
"Ignore","ተው"
"Images","ምስሎች"
"Import","አስመጣ"
"Import Service","አገልግሎት አስመጣ"
"In Database:","በዚህ የውሂብ ጎታ ውስጥ፦"
"In File:","በዚህ ፋይል ውስጥ፦"
"Inactive","የቦዘነ"
"Incl. Tax","ቀረጥ ያካትታል"
"Include","ያካትታል"
"Installed As","የተጫነው እንደ"
"Interactive","በይነተገናኝ"
"Interface Locale: %s","በይነገጽ አካባቢያዊ፦ %s"
"Invalid webservice adapter specified","ልክ ያልሆነ የድር አገልግሎት አያያዥ ተጠቅሷል"
"Invalid webservice handler specified","ልክ ያልሆነ የድር አገልግሎት አስተናጋጅ ተጠቅሷል"
"Invoice History","የደረሰኝ ታሪክ"
"Invoice Totals","የደረሰኝ ድምሮች"
"Issue Number","የእትም ቁጥር"
"Issuer: %s","ሰጪ፦ %s"
"Items to merge","የሚዋሃዱ ንጥሎች"
"Last 5 Orders","ያለፉት 5 ትእዛዞች"
"Last 5 Search Terms","ያለፉት 5 የፍለጋ ቃላት"
"Last Logged In (%s):","በመጨረሻ የተገባው (%s)፦"
"Last Logged In:","በመጨረሻ የተገባው፦"
"Last Name:","የአያት ስም፦"
"Latest Message:","በጣም የቅርብ ጊዜ መልዕክት፦"
"Leave empty to use tax identifier","የቀረጥ መለያን ለመጠቀም ባዶ ተው"
"Level","ደረጃ"
"License:","ፍቃድ፦"
"Loading...","በመጫን ላይ..."
"Local Server","አካባቢያዊ አገልጋይ"
"Local/Remote Server","አካባቢያዊ/ሩቅ አገልጋይ"
"Log Out","ዘግተህ ውጣ"
"Logged in as %s","እንደ %s ገብተዋል"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api ክፍል"
"Magento Logo","Magento አርማ"
"Magento ver. %s","Magento ስሪት %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; የIrubin Consulting Inc. DBA Varien የንግድ ምልክት ነው<br/>የቅጂ መብት &copy; %s Irubin Consulting Inc."
"Maintainers","ጠባቂዎች"
"Manage Stores","ሱቆችን አቀናብር"
"Mapping Configuration","የማጓደን ውቅረት"
"Max","ከፍተኛ"
"Merge Now","አሁን አዋህድ"
"Min","ዝቅተኛ"
"Module version conflict!","የሞዱል ስሪት ግጭት!"
"N/A","የለም"
"Name","ስም"
"Name on Card","ካርድ ላይ ያለ ስም"
"Name on the Card: %s","ካርዱ ላይ ያለ ስም፦ %s"
"Name:","ስም፦"
"Next month (hold for menu)","ቀጣይ ወር (ለምናሌ ተጭነው ይቆዩ)"
"Next page","ቀጣይ ገጽ"
"Next year (hold for menu)","ቀጣይ ዓመት (ለምናሌ ተጭነው ይቆዩ)"
"No","አይ"
"No Data Found","ምንም ውሂብ አልተገኘም"
"No search keywords.","ምንም የፍለጋ ቁልፍ ቃላት የሉም።"
"Note:","ማስታወሻ፦"
"Notes:","ማስታወሻዎች፦"
"Number of records:","የመዝገቦች ብዛት፦"
"Old rate:","የቀድሞ ተመን፦"
"Only mapped fields","የተጓደኑ መስኮች ብቻ"
"Order Totals","አጠቃላይ ትእዛዝ"
"Order confirmation email not sent","የትእዛዝ ማረጋገጫ ኢሜይል አልተላከም"
"Order confirmation email sent","የትእዛዝ ማረጋገጫ ኢሜይል ተልኳል"
"Original Magento attribute names in first row:","ኦሪጂናል የMagento አይነታ ስሞች በመጀመሪያው ረድፍ፦"
"Package","ጥቅል"
"Package Information","የጥቅል መረጃ"
"Packages","ጥቅሎች"
"Page","ገጽ"
"Passive mode","የማይሰራ ሁነታ"
"Password","የይለፍ ቃል"
"Path","ዱካ"
"Path:","ዱካ፦"
"PayPal Email","PayPal ኢሜይል"
"Personal Information","የግል መረጃ"
"Phone:","ስልክ፦"
"Please confirm site switching. All data that hasn't been saved will be lost.","እባክዎ ጣቢያ መቀያየርን ያረጋግጡ። ተቀመጦ የነበረ ውሂብ ሁሉ ይጠፋል።"
"Please enter 6 or more characters.","እባክዎ 6 ወይም ከዛ በላይ የሆኑ ቁምፊዎች ያስገቡ።"
"Please enter a number greater than 0 in this field.","እባክዎ በዚህ መስክ ውስጥ ከ0 በላይ የሆነ ቁጥር ያስገቡ።"
"Please enter a valid $ amount. For example $100.00.","እባከዎ ልክ የሆነ የ$ መጠን ያስገቡ። ለምሳሌ፦ $100.00።"
"Please enter a valid URL. For example http://www.example.com or www.example.com","እባክዎ ልክ የሆነ ዩአርኤል ያስገቡ። ለምሳሌ http://www.example.com ወይም www.example.com"
"Please enter a valid URL. http:// is required","እባክዎ ልክ የሆነ ዩአርኤል ያስገቡ። http:// ያስፈልጋል"
"Please enter a valid credit card number.","እባክዎ ልክ የሆነ የክሬዲት ካርድ ቁጥር ያስገቡ።"
"Please enter a valid date.","እባክዎ ልክ የሆነ ቀን ያስገቡ።"
"Please enter a valid email address. For example johndoe@domain.com.","እባከዎ ልክ የሆነ የኢሜይል አድራሻ ያስገቡ። ለምሳሌ፦ abebekebede@domain.com።"
"Please enter a valid number in this field.","እባክዎ በዚህ መስክ ውስጥ ልክ የሆነ ቁጥር ያስገቡ።"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","እባክዎ ልክ የሆነ የስልክ ቁጥር ያስገቡ። ለምሳሌ (123) 456-7890 ወይም 123-456-7890።"
"Please enter a valid social security number. For example 123-45-6789.","እባክዎ ልክ የሆነ የሶሻል ሴኩሪቲ ቁጥር ያስገቡ። ለምሳሌ 123-45-6789።"
"Please enter a valid value from list","እባክዎ ልክ የሆነ እሴት ከዝርዝሩ ውስጥ ያስገቡ"
"Please enter a valid value, ex: 10,20,30","እባክዎ ልክ የሆነ እሴት ያስገቡ፣ ለምሳሌ 10፣ 20፣ 30"
"Please enter a valid zip code.","እባክዎ ልክ የሆነ ዚፕኮድ ያስገቡ።"
"Please enter a valid zip code. For example 90602 or 90602-1234.","እባክዎ ልክ የሆነ የዚፕኮድ ያስገቡ። ለምሳሌ 90602 ወይም 90602-1234።"
"Please enter valid password.","እባክዎ ልክ የሆነ የይለፍ ቃል ያስገቡ።"
"Please make sure that your changes were saved before running the profile.","እባክዎ መገለጫውን ከማካሄድዎ በፊት ለውጦችዎ መቀመጣቸውን እርግጠኛ ይሁኑ።"
"Please make sure your passwords match.","እባክዎ የይለፍ ቃላትዎ ተዘማጅ መሆናቸውን እርግጠኛ ይሁኑ።"
"Please select State/Province.","እባክዎ ክልል/መስተዳድር ይምረጡ።"
"Please select an option.","እባክዎ አንድ ምርጫ ይምረጡ።"
"Please select one of the above options.","እባክዎ ከላይ ካሉት ምርጫዎች አንዱን ይምረጡ።"
"Please select one of the options.","እባክዎ ከምርጫዎቹ አንዱን ይምረጡ።"
"Please use in this field only ""a-z,0-9,_"".","እባክዎ በዚህ መስክ ውስጥ «a-z፣ 0-9፣ _» ብቻ ይጠቀሙ።"
"Please use letters only (a-z) in this field.","እባክዎ በዚህ መስክ ውስጥ (a-z) ፊደሎችን ብቻ ይጠቀሙ።"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","እባክዎ በዚህ መስክ ውስጥ ቁጥሮችን ብቻ ይጠቀሙ። እባክዎ ባዶ ቦታዎችን ወይም ሌሎች እንደ ነቁጥ ወይም ኮማ ያሉ ቁምፊዎችን ያስወግዱ።"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","እባክዎ በዚህ መስክ ውስጥ (a-z) ያሉ ፊደላትን ወይም (0-9) ያሉ ቁጥሮችን ብቻ ይጠቀሙ። ባዶ ቦታዎች ወይም ሌሎች ቁምፊዎች አይፈቀዱም።"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","እባክዎ በዚህ መስክ ውስጥ (a-z) ያሉ ፊደላትን ወይም (0-9) ያሉ ቁጥሮችን ወይም ባዶ ቦታዎችን እና # ብቻ ይጠቀሙ።"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","እባክዎ ይህን የቀን ቅርጸት ይጠቀሙ፦ ቀቀ/ወወ/ዓዓዓዓ። ለምሳሌ 17/03/2006 ለ17 መጋቢት፣  2006።"
"Please wait, loading...","እባክዎ ይጠብቁ፣ በመጫን ላይ..."
"Please, select a store view","እባክዎ የሱቅ እይታ ይምረጡ..."
"Prev. month (hold for menu)","ቀዳሚው ወር (ለምናሌ ተጭነው ይቆዩ)"
"Prev. year (hold for menu)","ቀዳሚው ዓመት (ለምናሌ ተጭነው ይቆዩ)"
"Previous page","ቀዳሚ ገጽ"
"Price","ዋጋ"
"Price:","ዋጋ፦"
"Primary Billing Address","የመጀመሪያ የክፍያ አድራሻ"
"Processed <strong>%s%% %s/%d</strong> items","<strong>%s%% %s/%d</strong> ንጥሎች ተካሂደዋል"
"Product","ምርት"
"Products","ምርቶች"
"Profile Information","የመገለጫ መረጃ"
"Provided Files","የቀረቡ ፋይሎች"
"Qty","ብዛት"
"Read details","ዝርዝሮቹን ያንብቡ"
"Recommended","የሚመከር"
"Remote FTP","የሩቅ FTP"
"Remote URL:","የሩቅ ዩአርኤል፦"
"Remove","አስወግድ"
"Resource Access","የንብረት መዳረስ"
"Resources","ንብረቶች"
"Role","ሚና"
"Role Users","የሚና ተጠቃሚዎች"
"Roles","ሚናዎች"
"Roles Resources","የሚናዎች ንብረቶች"
"SKU","SKU"
"SKU:","SKU፦"
"Schedule Merge","ማዋሃድ መርሃ ግብር አስይዝ"
"Select All","ሁሉንም ምረጥ"
"Select Date","ቀን ምረጥ"
"Select Range","ክልል ምረጥ"
"Select Visible","የሚታየውን ምረጥ"
"Select date","ቀን ምረጥ"
"Select website from map","ከካርታው ላይ የድር ጣቢያ ምረጥ"
"Select website to map","ወደ ካርታው ላይ የድር ጣቢያ ምረጥ"
"Shipment Comments","የማጓጓዣ አስተያየቶች"
"Shipment History","የማጓጓዣ ታሪክ"
"Shipping Address","የማጓጓዣ አድራሻ"
"Shipping address selection is not applicable","የማጓጓዣ አድርሻ ምርጫ ተግባራዊ አይደለም"
"Shipping method selection is not applicable","የማጓጓዣ ዘዴ ምርጫ ተግባራዊ አይደለም"
"Show Report for","ሪፖርት አሳይ ለ"
"Show by","አሳይ በ"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","በዚህ ትእዛዝ ውስጥ ያሉ አንዳንድ ንጥሎች የተለያዩ የደረሰኝ እና ማጓጓዣ አይነቶች ነው ያሏቸው። ደረሰኝ ከፈጠሩ በኋላ ብቻ ነው ማጓጓዣ መፍጠር የሚችሉት።"
"Sort Order","ትእዛዝ ደርድር"
"Spreadsheet Name:","የቀመር ሉህ ስም፦"
"Staging Store: ","ሱቅ ማደራጀት፦"
"Staging Website: ","የድር ጣቢያ ማደራጀት፦"
"Start Date","የመጀመሪያ ቀን"
"State/Province:","ክልል/ዞን፦"
"Status","ሁኔታ"
"Status:","ሁኔታ፦"
"Stock Quantity:","የክምችት ብዛት፦"
"Store:","ሱቅ፦"
"Store: ","ሱቅ፦"
"Subpackage","ንዑስ ጥቅል"
"Subpackages","ንዑስ ጥቅሎች"
"Summary:","ማጠቃለያ፦"
"Switch/Solo Only","Switch/Solo ብቻ"
"Switch/Solo card issue number: %s","Switch/Solo ካርድ የተሰጠበት ቁጥር፦ %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo ካርድ የጀመረበት ቀን፦ %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(ዩኬ የአገር ውስጥ) ብቻ"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(ዩኬ የአገር ውስጥ) ካርድ የተሰጠበት ቁጥር፦ %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(ዩኬ የአገር ውስጥ) ካርድ የጀመረበት ቀን፦ %s/%s"
"The information in this tab has been changed.","በዚህ ትር ላይ ያለ መረጃ ተለውጧል።"
"This is a required field.","ይህ አስፈላጊ መስክ ነው።"
"This tab contains invalid data. Please solve the problem before saving.","ይህ ትር ልክ ያልሆነ ውሂብ ይዟል። እባከዎ ከማስቀመጥዎ በፊት ችግሩን ይፍቱ።"
"Thumbnail","ድንክዬዎች"
"Time selection:","የሰዓት ምርጫ፦"
"Time:","ሰዓት፦"
"To","ለ"
"Top 5 Search Terms","ከፍተኛ 5 የፍለጋ ቃላት"
"Total %d records found","በጠቅላላው %d መዝገቦች ተገኝተዋል"
"Track order","ትእዛዝ ይከታተሉ"
"Track this shipment","ይህን መጓጓዝ ይከታተሉ"
"Type","አይነት"
"Type:","አይነት፦"
"Unable to login.","መግባት አልተቻለም።"
"Unselect All","ሁሉንም አትምረጥ"
"Unselect Visible","የሚታየውን አትምረጥ"
"Upgrade All Available Packages","ያሉትን ሁሉንም ጥቅሎች አሻሽል"
"Upload Local File","አካባቢያዊ ውሂብ ስቀል"
"Upload local file:","አካባቢያዊ ውሂብ ስቀል፦"
"Use Default Value","ነባሪ እሴት ተጠቀም"
"User","ተጠቃሞ"
"User Name","የተጠቃሚ ስም"
"User Roles","የተጠቃሚ ሚናዎች"
"User name","የተጠቃሚ ስም"
"Users","ተጠቃሚዎች"
"Value Delimiter:","እሴት ገዳቢ፦"
"Version:","ስሪት፦"
"View","እይታ"
"View Statistics for","ስታትስቲክስ አሳይ ለ"
"Visibility:","ታይነት፦"
"Warning! Empty value can cause problems with CSV format.","ማስጠንቀቂያ! ባዶ እሴት CSV ቅርጸት ላይ ችግር ሊያስከትል ይችላል።"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","ማስጠንቀቂያ! ይህ ተግባር አስቀድሞ ከተመደበበት ሚና ይህን ተጠቃሚ ያስወግደዋል።"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","ማስጠንቀቂያ! ይህ ተግባር አስቀድሞ ከተመደቡባቸው ሚናዎች እነዚህን ተጠቃሚዎች ያስወግዳቸዋል።"
"Web Services","የድር አገልግሎቶች"
"Web Services Configuration","የድር አገልግሎቶች ውቅረት"
"Website: ","ድር ጣቢያ"
"Websites","ድር ጣቢያዎች"
"Websites / Stores","ድር ጣቢያዎች/ ሱቆች"
"What is this?","ይህ ምንድነው?"
"Yes","አዎ"
"You have","ያለዎት"
"Your Account has been deactivated.","መለያዎ ቦዝኗል።"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","የአገልጋይዎ PHP ቅንብሮች በአንድ ጊዜ ከ%s ያልበለጡ ፋይሎችን እንዲሰቅሉ ይፈቅዳል። የበለጠ ትልቅ የሆኑ ፋይሎችን ለመስቀል፣ እባክዎ በ php.ini ውስጥ post_max_size (በአሁኑ ጊዜ %s ነው) እና upload_max_filesize (በአሁኑ ጊዜ %s ነው) እሴቶችን ይቀይሩ።"
"Zip/Postal Code:","ዚፕ/የፖስታ ኮድ፦"
"critical","ወሳኝ"
"images/logo.gif","images/logo.gif"
"items selected","የተመረጡ ንጥሎች"
"major","አብይ"
"md5sum","md5sum"
"minor","ንዑስ"
"notice","ማሳሰቢያ"
"of %s pages","ከ%s ገጾች"
"or","ወይም"
"per page","በገጽ"
"to","እስከ"
