"Cannot create writeable directory '%s'","ሊጻፍበት የሚችል አቃፊ «%s» መፍጠር አልተቻለም"
"Cart Item Attribute","የጋሪ ንጥል አይነታ "
"Catalog","ካታሎግ"
"Catalog Input Type for Store Owner","የካታሎግ የግቤት አይነት ለሱቅ ባለቤት"
"Catalog Price Scope","የካታሎግ ዋጋ ክልል"
"Catalog Section","የካታሎግ ክፍል"
"Catalog, Search","ካታሎግ፣ ፍለጋ"
"Categories","ምድቦች"
"Categories Sitemap","የምድቦች የጣቢያ ካርታ"
"Category","ምድብ"
"Category API","ምድብ API"
"Category Data","ምድብ ውሂብ"
"Category Navigation:","ምድብ አሰሳ፦"
"Category Products","ምድብ ምርቶች"
"Category Top Navigation","ምድብ ከፍተኛ አሰሳ"
"Category URL Suffix","የምድብ ዩአርኤል ድህረ ቅጥያ"
"Category attributes API","የምድብ አይነታዎች API"
"Category delete error","ምድብ መሰረዝ ስህተት"
"Category deleted","ምድብ ተሰርዟል"
"Category move error","ምድብ የማንቀሳቀስ ስህተት"
"Category must be instance of Mage_Catalog_Model_Category","ምድብ የMage_Catalog_Model_Category አብነት መሆን አለበት"
"Category saved","ምድብ ተቀምጧል"
"Change","ለውጥ"
"Change or Retrieve attribute store view","የሱቅ እይታ አይነታ ለውጥ ወይም ፈልገህ አውጣ"
"Change status","ሁኔታ ለውጥ"
"Check items to add to the cart or","ወደ ጋሪ የሚታከሉ ንጥሎችን ምረጥ ወይም "
"Choose an Option...","አማራጭ ምረጥ..."
"Choose option...","አማራጭ ምረጥ..."
"Clear All","ሁሉንም አጽዳ"
"Clear All Items","ሁሉንም ንጥሎች አጽዳ"
"Close Window","መስኮት ዝጋ"
"Collapse All","ሁሉንም ሰብስብ"
"Comparable","ተነጻጻሪ"
"Comparable on Front-end","በተጠቃሚ በይነገጽ ላይ የሚነጻጸር"
"Compare Items","ንጥሎችን አነጻጽር"
"Compare Products","ምርቶችን አነጻጽር"
"Compare Products (%d)","ምርቶችን አነጻጽር (%d)"
"Compare Products - %d Items","ምርቶችን አነጻጽር - (%d) ንጥሎች"
"Compare Products List","የምርቶች ዝርዝር አነጻጽር"
"Compare list successfully cleared","የንጽጽር ዝርዝር በተሳካ ሁኔታ ጸድቷል"
"Conditions Combination","የሁኔታዎች ውህድ"
"Configurable Product","የሚዋቀር ምርት"
"Configurable Product Settings","የሚዋቀር ምርት ቅንብሮች"
"Continue","ቀጥል"
"Copy From Configurable","ከሚዋቀሩ ቅዳ"
"Country/State","አገር/ክልል"
"Create","ፍጠር"
"Create (Upload)","ፍጠር (ስቀል)"
"Create Empty","ባዶ ፍጠር"
"Create Product Settings","የምርት ቅንብሮች ፍጠር"
"Create Simple Associated Product","ቀላል የተጎዳኘ ምርት ፍጠር"
"Create new category","አዲስ ምድብ ፍጠር"
"Create new product","አዲስ ምርት ፍጠር"
"Cross-sells","Cross-sells"
"Currently Shopping by","በአሁኑ ጊዜ እየተገዛ ያለው"
"Custom Design","ብጁ ንድፍ"
"Custom Options","ብጁ አማራጮች"
"Customer Group","የደንበኛ ቡድን"
"Customers Reviews","የደንበኞች ግምገማዎች"
"Customers Tagged Product","የደንበኞች መለያ የተሰጠበት ምርት"
"Customers for alert %s was successfuly added to queue","የማሳወቂያ %s ደንበኞች በተሳካ ሁኔታ ወደ ወረፋ ታክለዋል"
"Data Type for Saving in Database","በውሂብ ጎታ ውስጥ የሚቀመጥ የውሂብ አይነት "
"Date","ቀን"
"Date & Time Custom Options","የቀን እና ሰዓት ብጁ አማራጮች"
"Date Subscribed","በደንበኝነት የተመዘገበበት ቀን"
"Date fields order","የቀን መስኮች ቅደም ተከተል"
"Datetime","ቀን እና ሰዓት"
"Decimal","አስርዮሽ"
"Decimal Number","አስርዮሽ ቁጥር"
"Declare attribute value saving scope","የአይነታ እሴት ማስቀመጥ ስፋትን ግለጽ"
"Default Qty","ነባሪ ብዛት"
"Default Values","ነባሪ እሴቶች"
"Default price","ነባሪ ዋጋ"
"Default value","ነባሪ እሴት"
"Delete","ሰርዝ"
"Delete Attribute","አይነታ ሰርዝ"
"Delete Attribute Set","የአይነታ ስብስብ ሰርዝ"
"Delete Category","ምድብ ሰርዝ"
"Delete Option","ምርጫ ሰርዝ"
"Delete Row","ረድፍ ሰርዝ"
"Delete Search","ፍለጋ ሰርዝ"
"Delete Selected Group","የተመረጠውን ቡድን ሰርዝ"
"Delete category","ምድብ ሰርዝ"
"Delete product","ምርት ሰርዝ"
"Depends on design theme","በገጽታ ንድፍ የተመሰረተ"
"Design","ንድፍ"
"Disabled","አሰናክል"
"Display in Suggested Terms","በተጠቆሙ ቃላት ውስጥ አሳይ"
"Double click on a group to rename it","ዳግም ለመሰየም ሁለቴ ጠቅ ያድርጉ"
"Double click on above image to view full picture","ሙሉ ስዕሉን ለማየት ከላይ ያለው ምስል ላይ ሁለቴ ጠቅ ያድርጉ"
"Dropdown","ተቆልቋይ"
"Duplicate","ብዜት"
"Duplicate website tier price customer group and quantity.","የድርጣቢያ ድርብ ዋጋ ብዜት የደንበኛ ቡድን እና ብዛት"
"Duplicate website, country and state tax found.","የተባዛ የድር ጣቢያ፣ አገር እና ክልል ቀረጥ ተገኝቷል።"
"Edit","አርትእ"
"Edit Attribute Set '%s'","የአይነታ ስብስብ «%s» አርትእ"
"Edit Product Attribute","የምርት አይነታ አርትእ"
"Edit Product Attribute ""%s""","የምርት አይነታ «%s» አርትእ "
"Edit Search","ፍለጋ አርትእ"
"Edit Search '%s'","ፍለጋ «%s» አርትእ"
"Email","ኢሜይል"
"Email to a Friend","ለጓደኛ ኢሜይል ይላኩ"
"Empty","ባዶ"
"Enabled","ነቅቷል"
"Error during retrieval of option value: %s","የአማራጭ እሴት ፈልጎ በማውጣት ላይ ስህተት፦ %s"
"Error while adding customers for %s alert. Message: %s","ደንበኞች ለ%s ማሳወቂያ በማከል ላይ ስህተት። መልዕክት፦ %s"
"Error while saving this group. Group with the same name already exists.","ይህን ቡድን በማስቀመጥ ላይ ስህተት። ተመሳሳይ ስም ያለው ቡድን አስቀድሞ አለ።"
"Error while saving this group. Please try again later.","ይህን ቡድን በማስቀመጥ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Exclude","አታካት"
"Expand All","ሁሉንም ዘርጋ"
"Failed","አልተሳካም"
"Failed to move file: %s","ፋይሉን ማንቀሳቀስ አልተሳካም፦ %s"
"Feature Products","ተለይተው የቀረቡ ምርቶች"
"File options format is not valid","የፋይል አማራጮች ቅርጸር ልክ ያልሆነ ነው"
"File upload failed","ፋይል መስቀል አልተሳካም"
"Filter model name must be declared","የማጣሪያ ሞዴል ስም መገለጽ አለበት"
"Filter must be as object. Set correct filter please","ማጣሪያ እንደ ነገር መሆን አለበት። እባክዎ ትክክለኛ ማጣሪያ ያዘጋጁ"
"Filterable (no results)","የሚጣራ (ውጤቶች የሉም)"
"Filterable (with results)","የሚጣራ (ከውጤቶች ጋር)"
"Filters must be as array","ማጣሪያዎች እንደ ሰልፍ መሆን አለባቸው"
"First Name","የመጀመሪያ ስም"
"Fixed","ውሱን"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","ዝርግ ካታሎግ ሞዱል የሚጣሩ/የሚደረደሩ አይነታዎች %2$d ገደብ አለው። በአሁኑ ጊዜ %1$d አሉ። ይህን ሞዱል ለመጠቀም እባክዎ የሚጣሩ/የሚደረደሩ አይነታዎችን ቁጥር ይቀንሱ።"
"For internal use. Must be unique with no spaces","ለውስጥ አገልግሎት። ባዶ ቦታዎች የሌለው ልዩ መሆን አለበት"
"For reindex enabled product(s) you need specify store or product","ለዳግም መረጃ መጠቆም የነቃ(ቁ) ምርት(ቶች) ሱቅ ወይም ምርት መጥቀስ ይኖርብዎታል"
"Frontend","የተጠቃሚ በይነገጽ"
"Frontend Model","የተጠቃሚ በይነገጽ ሞዴል"
"Frontend Properties","የተጠቃሚ በይነገጽ ባህሪያት"
"Gallery","ማዕከለ ስዕላት"
"General Information","አጠቃላይ መረጃ"
"Get special price","ልዩ ዋጋ ያግኙ"
"Global","ሁሉአቀፍ"
"Globally Editable","ሁሉአቀፍ አርትኦት ሊደረግበት የሚችል"
"Go to Home Page","ወደ መነሻ ገጽ ሂድ"
"Grid","ፍርግርግ"
"Grouped Product","የተቦደነ ምርት"
"Groups","ቡድኖች"
"Home","መነሻ"
"ID","መታወቂያ"
"ID: %s","መታወቂያ፦ %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","ለአንድ የተወሰነ የሱቅ እይታ የአማራጭ እሴት ካልጠቀሱ፣ ነባሪው (አስተዳዳሪ) እሴት ተግባራዊ ይሆናል።"
"Image","ምስል"
"Image content is not valid base64 data.","የምስል ይዘት ልክ ይሆነ base64 ውሂብ አይደለም።"
"Image file not found","የምስል ፋይል አልተገኘም"
"Image not exists","ምስል የለም"
"Image not specified.","ምስል አልተጠቀሰም።"
"Image type and information need to be specified for each store view.","የምስል አይነት እና መረጃ ለእያንዳዱ የሱቅ እይታ መጠቀስ አለበት።"
"In Stock","በማከማቻ ውስጥ ይገኛል"
"In stock","በማከማቻ ውስጥ ይገኛል"
"In stock.","በማከማቻ ውስጥ ይገኛል።"
"Incl. Tax","ቀረጥ ያካትታል"
"Input Type","የግቤት አይነት"
"Input Validation for Store Owner","የግቤት ማረጋገጫ ለሱቅ ባለቤት"
"Integer","ኢንቲጀር"
"Integer Number","ኢንቲጀር ቁጥር"
"Invalid Tier Prices","ልክ ያልሆኑ ተደራራቢ ዋጋዎች"
"Invalid attribute %s","ልክ ያልሆነ አይነታ %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","ልክ ያልሆነ የአይነታ አማራጭ ለአይነታ %s (%s) ተጠቅሷል፣  መዝገቡን በመዝለል ላይ"
"Invalid attribute set specified, skipping the record","ልክ ያልሆነ የአይነታ ስብስብ ተጠቅሷል፣ መዝገቡን በመዝለል ላይ"
"Invalid block: %s","ልክ ያልሆነ ጥቅል፦ %s"
"Invalid category","ልክ ያልሆነ ምድብ"
"Invalid category IDs","ልክ ያልሆኑ የምድብ መታወቂያዎች"
"Invalid image file type","ልክ ያልሆነ የምስል ፋይል አይነት"
"Invalid image type.","ልክ ያልሆነ የምስል አይነት።"
"Invalid option id specified for %s (%s), skipping the record","ልክ ያልሆነ የአማራጭ መታወቂያ ለ%s (%s) ተጠቅሷል፣  መዝገቡን በመዝለል ላይ"
"Invalid product type specified, skipping the record","ልክ ያልሆነ የአይነታ ስብስብ ተጠቅሷል፣ መዝገቡን በመዝለል ላይ"
"Invalid store specified","ልክ ያልሆነ ሱቅ ተጠቅሷል"
"Invalid store specified, skipping the record","ልክ ያልሆነ ሱቅ ተጠቅሷል፣ መዝገቡን በመዝለል ላይ"
"Inventory","የዕቃ ዝርዝር"
"Is Default","ነባሪ ነው"
"Is Required","ያስፈልጋል"
"Items %s to %s of %s total","ንጥሎች %s እስከ %s ከጠቅላላው %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","በካታሎጉ ወይም በፍለጋ ውጤቶች ውስጥ እንዲታዩ የማይፈልጓቸው ንጥሎች በተፈለገው ሱቅ ውስጥ «ተሰናክሏል» የሚል ሁኔታ ሊኖራቸው ይገባል።  "
"Label","መለያ ስም"
"Last Name","የአያት ስም"
"Last Notification","የመጨረሻ ማሳወቂያ"
"Learn More","ተጨማሪ ይወቁ"
"Length of text is too long","የጽሁፉ ርዝመት በጣም ረጅም ነው"
"Letters","ፊደላት"
"Letters(a-zA-Z) or Numbers(0-9)","ፊደላት(a-zA-Z) ወይም ቁጥሮች(0-9)"
"Line %d, Email: %s","መስመር %d፣ ኢሜይል፦ %s"
"Line %d, SKU: %s","መስመር %d፣ SKU፦ %s"
"Link (Related, Up sell, Cross sell)","አገናኝ (ተዛማጅ፣ ያደገ-ሽያጭ፣ የጎንዮሽ-ሽያጭ)"
"Link product not exists.","አገናኝ ምርት የለም።"
"List","ዝርዝር"
"List Mode","የዝርዝር ሁነታ"
"Manage Attribute Sets","የአይነታ ስብስቦችን አቀናብር"
"Manage Attributes","አይነታዎችን አቀናብር"
"Manage Catalog Categories","የካታሎግ ምድቦችን አቀናብር"
"Manage Categories","ምድቦችን አቀናብር"
"Manage Label / Options","የመለያ ስም / አማራጮች አቀናብር"
"Manage Options (values of your attribute)","አማራጮችን አቀናብር (የአይነታዎ እሴቶች)"
"Manage Product Attributes","የምርት አይነታዎችን አቀናብር"
"Manage Product Sets","የምርት ስብስቦችን አቀናብር"
"Manage Products","ምርቶችን አቀናብር"
"Manage Stock","ማከማቻ አቀናብር"
"Manage Titles (Size, Color, etc.)","ርዕሶችን (መጠን፣ ቀለም ወዘተ.) አቀናብር"
"Max Characters","ከፍተኛው የቁምፊዎች መጠን"
"Maximal Depth","ከፍተኛው ጥልቀት"
"Maximum Image Size","ከፍተኛው የምስል መጠን"
"Maximum Qty Allowed in Shopping Cart","በግዢ ጋሪ ውስጥ የሚፈቀደው ከፍተኛው ብዛት"
"Maximum image height","ከፍተኛው የምስል ቁመት"
"Maximum image width","ከፍተኛው የምስል ወርድ"
"Maximum number of characters","ከፍተኛው የቁንፊዎች ብዛት"
"Media Image","የሚዲያ ምስል"
"Minimum Lines Per Page","ዝቅተኛ መስመሮች በገጽ"
"Minimum Qty Allowed in Shopping Cart","በግዢ ጋሪ ውስጥ የሚፈቀደው ዝቅተኛው ብዛት"
"Minimum Qty for Item's Status to be Out of Stock","በክምችት ውስጥ ያማይገኝ እንዲሆን የሚደረግ ንጥል ሁኔታ ዝቅተኛው ብዛት"
"Missing SKU, skipping the record","SKU ታጥቷል፣ መዝገቡን በመዝለል ላይ"
"More Views","ተጨማሪ እይታዎች"
"Move","አንቀሳቅስ"
"Move category in tree","ምድብ በዛፍ ውስጥ አንቀሳቅስ"
"Multiple Select","በብዛት መምረጥ"
"Name","ስም"
"Name In %s","ስም በ%s ውስጥ"
"Name<br/>(For internal use)","ስም<br/>(ለውስጥ አገልግሎት)"
"New Category","አዲስ ምድብ"
"New Product","አዲስ ምርት"
"New Product Attribute","አዲስ የምርት አይነታ"
"New Products","አዲስ ምርቶች"
"New Search","አዲስ ፍለጋ"
"New Set Name","አዲስ የአይነታ ስብስብ"
"Next","ቀጣይ"
"No","አይ"
"No image","ምስል የለም"
"No layout updates","የአቀማመጥ ማዘመኛዎች የሉም"
"No options of this product are available.","የዚህ ምርት አማራጮች አይገኙም።"
"No product collections found","ምንም የምርት ስብስቦች አልተገኙም"
"None","ምንም"
"Not shared with other products","ከሌሎች ምርቶች ጋር አልተጋራም"
"Notify Low Stock RSS","አነስተኛ የክምችት RSS አሳውቅ"
"Notify for Quantity Below","ከዚህ በታች ለሆነ ብዛት አሳውቅ"
"Nowhere","የትም"
"Number of Uses","ጥቅም ላይ የዋለበት ብዛት"
"Number of results<br/>(For last time placed)","የውጤቶች ብዛት<br/>(ለመጨረሻ ጊዜ ለታዘዙ)"
"OR","ወይም"
"Old Price:","የቀድሞ ዋጋ፦"
"Option validation failed to add product to cart","ምርት ወደ ጋሪ ለማከል የአማራጭ ማረጋገጥ አልተሳካም"
"Option:","አማራጭ፦"
"Options Control","የአማራጮች መቆጣጠሪያ"
"Options is required","አማራጮች አስፈላጊ ነው"
"Our customer service is available 24/7. Call us at (555) 555-0123.","የደንበኛ አገልግሎታችን 24/7 ይገኛል። በ(555) 555-0123 ይደውሉልን።"
"Out of Stock","በማከማቻ ውስጥ አይገኝም"
"Out of stock","በማከማቻ ውስጥ አይገኝም"
"Out of stock.","በማከማቻ ውስጥ አይገኝም።"
"PM","PM"
"Page Title Separator","የገጽ ርዕስ መለያያ"
"Page:","ገጽ፦"
"Parent Category","ወላጅ መደብ"
"Pending","በመጠባበቅ ላይ"
"Pending Reviews RSS","በመጠባበቅ ላይ ያሉ ግምገማዎች RSS"
"Percentage","መቶኛ"
"Please add rows to option.","እባክዎ ረድፎችን ወደ አማራጭ ያክሉ።"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","እባክዎ ረድፉ ላይ አንዴ ጠቅ ሲያደርጉ ከተመረጠው ፋይል የጥቅል ውሂብ ይጭንና ሁሉም ያልተቀመጡ የቅጽ ውሂብ ይጠፋሉና ይጠንቀቁ።"
"Please click on Close Window button if it won't be closed automatically","በራስ-ሰር ካልተዘጋ እባክዎ መስኮት ዝጋ አዝራር ላይ ጠቅ ያድርጉ"
"Please enter a new group name","እባክዎ አዲስ የቡድን ስም ያስገቡ"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","እባክዎ «የካታሎግ ዳግም ጻሃፊዎችን» እና «የተደራራቢ አሰሳ መረጃ ጠቋሚዎችን» በስርዓት -> <a href="%s">የመሸጎጫ ቅንብር</a> ውስጥ ያድሱ"
"Please select  items","እባክዎ ንጥሎች ይምረጡ"
"Please select one or more attributes.","እባክዎ አንድ ወይም ከዛ በላይ አይነታዎችን ያክሉ።"
"Please select product(s)","እባክዎ ምርት(ቶች) ይምረጡ"
"Please select products for attributes update","እባክዎ ለአይነታዎች ማዘመኛ ምርቶችን ይምረጡ"
"Please select static block ...","እባክዎ የማይለወጥ ጥቅል ይምረጡ..."
"Please set up merge date/time .","እባክዎ ቀን/ሰዓት አዋህድን ያዘጋጁ።"
"Please specify date required option(s)","እባክዎ ቀን የሚፈልጉ አማራጭ(ጮች)ን ይጥቀሱ"
"Please specify the product option(s)","እባክዎ የምርት አማራጭ(ጮች)ን ይጥቀሱ"
"Please specify the product required option(s)","እባክዎ የሚፈለጉ የምርት አማራጭ(ጮች)ን ይጥቀሱ"
"Please specify the product(s) quantity","እባክዎ የምርት(ቶች)ን ብዛት ይጥቀሱ"
"Please specify time required option(s)","እባክዎ ሰዓት የሚፈልጉ አማራጭ(ጮች)ን ይጥቀሱ"
"Please, use four-digit year format","እባክዎ፣ ባለ-አራት-አሃዝ የዓመት ቅርጸት ይጠቀሙ"
"Position","አቀማመጥ"
"Position In Layered Navigation","በተደራራቢ አሰሳ ውስጥ አቀማመጥ"
"Position of attribute in layered navigation block","በተደራራቢ አሰሳ ጥቅል ውስጥ የአይነታ አቀማመጥ"
"Prev","ቀዳሚ"
"Previous","ቀዳሚ"
"Price","ዋጋ"
"Price Type","የዋጋ አይነት"
"Price values for options should be specified in system base currency.","የአማራጮች የዋጋ እሴቶች በስርዓት መሰረተ ምንዛሪ ውስጥ መጠቀስ ይኖርበታል።"
"Price:","ዋጋ፦"
"Print This Page","ይህን ገጽ አትም"
"Problem saving the collection, aborting. Error: %s","ስብስቡን የማስቀመጥ ችግር፣ በማቋረጥ ላይ። ስህተት፦ %s"
"Product","ምርት"
"Product %s successfully added to compare list","ምርት %s ወደ ማነጻጸሪያ ዝርዝር በተሳካ ሁኔታ ታክሏል"
"Product %s successfully removed from compare list","ምርት %s ከማነጻጸሪያ ዝርዝር በተሳካ ሁኔታ ተወግዷል"
"Product API","የምርት API"
"Product Alerts","የምርት ማሳወቂያዎች"
"Product Attribute","የምርት አይነታ"
"Product Attributes","የምርት አይነታዎች"
"Product Categories","የምርት ምድቦች"
"Product Description","የምርት መግለጫ"
"Product Image Placeholders","የምርት ምስል ቦታያዦች"
"Product Image Watermarks","የምርት ምስል ድብዝዝ ምልክቶች"
"Product Images","የምርት ምስሎች"
"Product Images API","የምርት ምስሎች API"
"Product In Websites","በድር ጣቢያዎች ያለ ምርት"
"Product Info Column","የምርት መረጃ አምድ"
"Product Information","የምርት መረጃ"
"Product Name","የምርት ስም"
"Product Reviews","የምርት ግምገማዎች"
"Product Tags","የምርት መለያዎች"
"Product Tier Price API","የምርት ድርብ ዋጋ API"
"Product Type","የምርት አይነት"
"Product URL Suffix","የምርት ዩአርኤል ድህረ ቅጥያ"
"Product attribute sets API","የምርት አይነታ ስብስቦች API"
"Product attribute was successfully deleted","የምርት አይነታ በተሳካ ሁኔታ ተሰርዟል"
"Product attribute was successfully saved","የምርት አይነታ በተሳካ ሁኔታ ተቀምጧል"
"Product attributes API","የምርት አይነታዎች API"
"Product collection expected","የምርት ስብስብ ይጠበቃል"
"Product deleted","ምርት ተሰርዟል"
"Product duplicated","ምርት ተባዝቷል"
"Product has required options","ምርት አስፈላጊ አማራጮች አሉት"
"Product links API (related, cross sells, up sells)","የምርት አገናኞች API (ተዛማጅ፣ የጎንዮሽ ሽያጮች፣ ያደገ ሽያጭ)"
"Product listing sort by","የምርት ዝርዝር የተደረደረው"
"Product saving error.","ምርት የማስቀመጥ ስህተት።"
"Product saving error. ","ምርት የማስቀመጥ ስህተት።"
"Product types API","የምርት አይነቶች API"
"Product was successfully created.","ምርት በተሳካ ሁኔታ ተፈጥሯል።"
"Product was successfully saved.","ምርት በተሳካ ሁኔታ ተቀምጧል።"
"Product with this combination of attributes already associated to configurable.","በዚህ የአይነታዎች ውህድ ያለው ምርት አስቀድሞ ሊዋቀር ከሚችል ጋር ተጎዳኝቷል።"
"Products","ምርቶች"
"Products Information","የምርቶች መረጃ"
"Products Reviews","የምርቶች ግምገማዎች"
"Products Sitemap","የምርቶች የጣቢያ ካርታ"
"Products only","ምርቶች ብቻ"
"Products per Page on Grid default value","ምርቶች በገጽ በፍርግርግ ነባሪ እሴት ላይ"
"Products per Page on List allowed values","ምርቶች በገጽ በዝርዝር የተፈቀደላቸው እሴቶች ላይ"
"Products per Page on List default value","ምርቶች በገጽ በዝርዝር ነባሪ እሴት ላይ"
"Products per page on Grid allowed values","ምርቶች በገጽ በፍርግርግ የተፈቀደላቸው እሴቶች ላይ"
"Properties","ባህሪያት"
"Qty","ብዛት"
"Qty Uses Decimals","ብዛት የሚጠቀመው አስርዮሽ ነው"
"Qty for Item's Status to become Out of Stock","በክምችት ውስጥ ያማይገኝ እንዲሆን የንጥሎች ብዛት ሁኔታ"
"Quick Create","ፈጣን መፍጠር"
"Quick Overview","ፈጣን ማጠቃለያ"
"Quick simple product creation","ፈጣን ቀላል የምርት መፍጠር"
"Records for ""","መዝገቦች ለ«"
"Redirect","አዛውር"
