"Abandoned carts","የተተዉ ጋሪዎች"
"Number of wishlists: %s","የምኞት ዝርዝር ብዛት፦ %s"
"Offline Refunded","ከመስመር ውጪ ገንዘብ ተመላሽ የተደረገ"
"Online Refunded","በመስመር ላይ ገንዘብ ተመላሽ የተደረገ"
"Orders","ትእዛዞች"
"Out of stock","በማከማቻ ውስጥ አይገኝም"
"Poducts Report","የምርቶች ሪፖርት"
"Popular Tags","በጣም ታዋቂ መለያዎች"
"Popularity","ታዋቂነት"
"Price","ዋጋ"
"Product Name","የምርት ስም"
"Product Reviews","የምርት ግምገማዎች"
"Product Sku","የምርት SKU"
"Product Tags","የምርት መለያዎች"
"Products","ምርቶች"
"Products Report","የምርቶች ሪፖርት"
"Products Reviews","የምርቶች ግምገማዎች"
"Products Sold","የተሸጡ ምርቶች"
"Products Tags","ዋጋ የተለጠፈባቸው ምርቶች "
"Products in carts","በጋሪ ውስጥ ያሉ ምርቶች"
"Purchases","ግዢዎች"
"Quantity Ordered","የታዘዘ ብዛት"
"Quantity of Items","የንጥሎች ብዛት"
"Rate","ተመን"
"Recently Compared Products","በቅርብ ጊዜ የተነጻጸሩ ምርቶች"
"Recently Viewed Products","በቅርብ ጊዜ የታዩ ምርቶች"
"Recently Viewed/Compared Products","በቅርብ ጊዜ የታዩ/የተነጻጸሩ ምርቶች"
"Refunded","ተመላሽ የተደረገ ገንዘብ"
"Reports","ሪፖርቶች"
"Results","ውጤቶች"
"Revenue","ገቢ"
"Review","ግምገማ"
"Reviews","ግምገማዎች"
"Reviews for %s","ግምገማዎች ለ%s"
"Sales","ሽያጮች"
"Sales Report","የሽያጮች ሪፖርት"
"Search Terms","የፍለጋ ቃላት"
"Shipping","ማጓጓዣ"
"Shopping Cart","የግዢ ጋሪ"
"Show for Current","ለአሁኑ አሳይ"
"Stock Qty","የክምችት ብዛት"
"Submitted In","የገባው በ"
"Submitted On","የገባው በ"
"Subtotal","ንዑስ ድምር"
"Tag","መለያ"
"Tag ""%s"" details","የመለያ «%s» ዝርዝሮች"
"Tag Detail","የመለያ ዝርዝር"
"Tag Name","የመለያ ስም"
"Tag use","የመለያ ጥቅም"
"Tags submited by %s","በ%s የተላኩ መለያዎች"
"Tags submitted to %s","ለ%s የተላኩ መለያዎች"
"Tax","ቀረጥ"
"Tax Amount","የቀረጥ መጠን"
"Title","ርዕስ"
"Total","ጠቅላላ"
"Total Invoiced","ጠቅላላ ደረሰኝ የተሰራላቸው"
"Total Invoiced Captured","ጠቅላላ ደረሰኝ የተሰራላቸው የተያዙ"
"Total Invoiced not Captured","ጠቅላላ ደረሰኝ የተሰራላቸው ያልተያዙ"
"Total Refunded","ጠቅላላ ተመላሽ የተደረገ ገንዘብ"
"Total Shipping","ጠቅላላ የሚጓጓዝ"
"Total Tags","አጠቃላይ የተሰጡ መለያዎች"
"Total invoiced","ጠቅላላ ደረሰኝ የተሰራላቸው"
"Total refunded","ጠቅላላ ተመላሽ የተደረገ ገንዘብ"
"Updated at","የዘመነው በ"
"Visible In","የሚታየው"
"Wishlist Report","የምኞት ዝርዝር ሪፖርት"
"Wishlist vs. Regular Order","የምኞት ዝርዝር ከ መደበኛ ትእዛዝ"
"Wishlists","የምኞት ዝርዝሮች"
"Year","ዓመት"
"Your Recently Compared","በቅርብ ጊዜ ያወዳደሩት"
"Your Recently Viewed","በቅርብ ጊዜ ያዩት"
