"%s already exist","%s አስቀድሞ አለ"
"%s already exists","%s አስቀድሞ አለ"
"-- Please Select --","-- እባክዎ ይምረጡ --"
"Debug","አርም"
"Default","ነባሪ"
"Default Description","ነባሪ መግለጫ"
"Default Keywords","ነባሪ ቁልፍ ቃላት"
"Default Pages","ነባሪ ገፆች"
"Default Robots","ነባሪ ሮቦቶች"
"Default Store","ነባሪ ሱቅ"
"Default Store View","ነባሪ የሱቅ እይታ"
"Default Title","ነባሪ ርዕስ"
"Default country","ነባሪ አገር"
"Default no-route url","ነባሪ አቅጣጫ-የለሽ ዩአርኤል"
"Default web url","ነባሪ የድር ዩአርኤል"
"Delete","ሰርዝ"
"Delete Store","ሱቅ ሰርዝ"
"Delete Store View","የሱቅ እይታ ሰርዝ"
"Delete Website","የድር ጣቢያ ሰርዝ"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","%1$s መሰረዝ ከ%1$s ጋር የተጎዳኘ መረጃን አይሰርዝም(ለምሳሌ፦ ምድቦች፣ ምርቶች፣ ወዘተ)፣ ነገር ግን %1$s ወደነበረበት ሊመለስ አይችልም። %1$s ከመሰረዝዎ በፊት የውሂብ ጎታ ምትኬ እንዲፈጥሩ ይመከራል።"
"Design","ንድፍ"
"Design Change","የንድፍ ለውጥ"
"Developer","ገንቢ"
"Developer Client Restrictions","የገንቢ ደንበኛ ገደቦች"
"Disable email communications","የኢሜይል ግንኙነትቶችን አሰናክል"
"Disable modules output","የሞዱሎች ውጽዓት አሰናክል "
"Duplicate Of Template Code","የአብነት ኮድ ብዜት"
"Edit Design Change","የንድፍ ለውጥ አርትእ"
"Edit Store","ሱቅ አርትእ"
"Edit Store View","የሱቅ እይታ አርትእ"
"Edit Website","የድር ጣቢያ አርትእ"
"Empty identifier field name","ባዶ የለዪ መስክ ስም"
"Empty main table name","ባዶ የዋና ሰንጠረዥ ስም"
"Enabled","ነቅቷል"
"Enabled for Admin","ለአስተዳዳሪ ነቅቷል"
"Enabled for Frontend","ለተጠቃሚ በይነገጽ ነቅቷል"
"Error in file: ""%s"" - %s","በፋይል ውስጥ ስህተት፦ «%s» - %s"
"Error while saving. Please try again later.","በማስቀመጥ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error: Passwords do not match","ስህተት፦ የይለፍ ቃላት አልተዛመዱም"
"Exceptions Log File Name","የተለዩ ምዝግብ ማስታወሻ የፋይል ስም"
"First Day of Week","የመጀመሪያው የሳምንቱ ቀን"
"Footer","ግርጌ"
"Forgot Password Email Sender","የኢሜይል ላኪውን የይለፍ ቃል ረሱት"
"Forgot Password Email Template","የኢሜይል አብነቱን የይለፍ ቃል ረሱት"
"General","አጠቃላይ"
"General Settings","አጠቃላይ ቅንብሮች"
"General contact","አጠቃላይ እውቂያ"
"Global","ሁሉአቀፍ"
"HTML Head","HTML Head"
"Header","ራስጌ"
"Host","አስተናጋጅ"
"Id path for specified store","የመታወቂያ ዱካ ለተመለከተው ሱቅ"
"Incorrect credit card expiration date","ትክክለኛ ያልሆነ የክሬዲት ካርድ አገልግሎት ማብቂያ ጊዜ"
"Invalid base url type","ልክ ያልሆነ የቤዝ ዩአርኤል አይነት"
"Invalid block name to set child %s: %s","ልክ ያልሆነ የጥቅል ስም ለልጅ %s ለማዋቀር፦ %s"
"Invalid block type: %s","ልክ ያልሆነ ጥቅል አይነት፦ %s"
"Invalid block: %s","ልክ ያልሆነ ጥቅል፦ %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","ልክ ያልሆነ የአቀማመጥ ማዘመኛ ነጋሪ እሴት፣ የሚጠበቀው Mage_Core_Model_Layout_Element"
"Invalid layout update handle","ልክ ያልሆነ የአቀማመጥ ማዘመኛ መያዣ"
"Invalid messages storage ""%s"" for layout messages initialization","ልክ ያልሆኑ መልዕክቶች ማከማቻ «%s» ለአቀማመጥ መልዕክቶች ማስጀመሪያ"
"Invalid transactional email code: ","ልክ ያልሆነ የማዘዋወሪያ ኢሜይል ኮድ፦ "
"Invalid websites configuration path: %s","ልክ ያልሆነ የድር ጣቢያዎች ማወቀሪያ ዱካ፦ %s"
"Layout","አቀማመጥ"
"Layouts","አቀማመጦች"
"Leave empty for access from any location","ከማንኛውም አካባቢ ለመዳረስ ባዶ ቦታ ይተዉ"
"Locale","የአካባቢ"
"Locale options","አካባቢያዊ አማራጮች"
"Log Settings","የምዝግብ ማስታወሻ ቅንብሮች"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","ከ Mage::log() የተገባ። ፋይሉ ያለው {{base_dir}}/var/log ውስጥ ነው"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","ከ Mage::logException() የተገባ። ፋይሉ ያለው {{base_dir}}/var/log ውስጥ ነው"
"Logo Image Alt","የአርማ ምስል Alt"
"Logo Image Src","የአርማ ምስል Src"
"Manage Stores","ሱቆች አቀናብር"
"Match expressions in the same order as displayed in the configuration.","በውቅረት ውስጥ እንደሚታየው በተመሳሳይ ቅደምተከተል መግለጫዎችን አዛምድ።"
"Miscellaneous HTML","በያይነቱ HTML"
"Miscellaneous scripts","በያይነቱ ስክሪፕቶች"
"Model class does not exist: %s","ሞዴል መደብ የለም፦ %s"
"Model collection resource name is not defined","የሞዴል ስብስብ የንብረት ስም አልተገለጸም"
"Module ""%1$s"" can not be depended from ""%2$s""","ሞዱል «%1$s» ከ«%2$s» ጥገኛ ሊሆን አይችልም"
"Module ""%1$s"" requires module ""%2$s""","ሞዱል «%1$s» ሞዱል «%2$s» ይፈልጋል"
"Name","ስም"
"New Design Change","አዲስ የንድፍ ለውጥ"
"New Store","አዲስ ሱቅ"
"New Store View","አዲስ የሱቅ እይታ"
"New Website","አዲስ የድር ጣቢያ"
"No","አይ"
"Package","ጥቅል"
"Please choose to register or to checkout as a guest","እባክዎ ለመመዝገብ ወይም እንደንግዳ ከፍለው ለመውጣት ይምረጡ"
"Please define flag code.","እባክዎ የጥቆማ ኮድ ይግለጹ።"
"Please enter 6 or more characters.","እባክዎ 6 ወይም ከዛ በላይ የሆኑ ቁምፊዎች ያስገቡ።"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","እባክዎ 6 ወይም ከዛ በላይ የሆኑ ቁምፊዎች ያስገቡ። ቀዳሚ ወይም ተከታይ ክፍት ቦታዎች ይተዋሉ።"
"Please enter a number greater than 0 in this field.","እባክዎ በዚህ መስክ ውስጥ ከ0 በላይ የሆነ ቁጥር ያስገቡ።"
"Please enter a valid $ amount. For example $100.00.","እባከዎ ልክ የሆነ የ$ መጠን ያስገቡ። ለምሳሌ፦ $100.00።"
"Please enter a valid URL. For example http://www.example.com or www.example.com","እባክዎ ልክ የሆነ ዩአርኤል ያስገቡ። ለምሳሌ  http://www.example.com ወይም www.example.com"
"Please enter a valid URL. http:// is required","እባክዎ ልክ የሆነ ዩአርኤል ያስገቡ። http:// ያስፈልጋል"
"Please enter a valid credit card number.","እባክዎ ልክ የሆነ የክሬዲት ካርድ ቁጥር ያስገቡ።"
"Please enter a valid date.","እባክዎ ልክ የሆነ ቀን ያስገቡ።"
"Please enter a valid email address. For example johndoe@domain.com.","እባከዎ ልክ የሆነ የኢሜይል አድራሻ ያስገቡ። ለምሳሌ፦ abebekebede@domain.com።"
"Please enter a valid number in this field.","እባክዎ በዚህ መስክ ውስጥ ልክ የሆነ ቁጥር ያስገቡ።"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","እባክዎ ልክ የሆነ የስልክ ቁጥር ያስገቡ። ለምሳሌ (123) 456-7890 ወይም 123-456-7890።"
"Please enter a valid social security number. For example 123-45-6789.","እባክዎ ልክ የሆነ የሶሻል ሴኩሪቲ ቁጥር ያስገቡ። ለምሳሌ 123-45-6789።"
"Please enter a valid zip code.","እባክዎ ልክ የሆነ ዚፕኮድ ያስገቡ።"
"Please enter a valid zip code. For example 90602 or 90602-1234.","እባክዎ ልክ የሆነ የዚፕኮድ ያስገቡ። ለምሳሌ 90602 ወይም 90602-1234።"
"Please enter valid password.","እባክዎ ልክ የሆነ የይለፍ ቃል ያስገቡ።"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","እባክዎ የቤዝ ዩአርኤል መጨረሻ  «/» (ህዝባር)፣ ለምሳሌ፦ http://yourdomain/magento/"
"Please make sure your passwords match.","እባክዎ የይለፍ ቃላትዎ ተዘማጅ መሆናቸውን እርግጠኛ ይሁኑ።"
"Please select State/Province.","እባክዎ ክልል/መስተዳድር ይምረጡ።"
"Please select an option.","እባክዎ አንድ ምርጫ ይምረጡ።"
"Please select one of the above options.","እባክዎ ከላይ ካሉት ምርጫዎች አንዱን ይምረጡ።"
"Please select one of the options.","እባክዎ ከምርጫዎቹ አንዱን ይምረጡ።"
"Please specify payment method.","እባክዎ የክፍያ ዘዴ ይጥቀሱ።"
"Please specify shipping method.","እባክዎ የማጓጓዣ ዘዴ ይጥቀሱ።"
"Please use letters only (a-z or A-Z) in this field.","እባክዎ በዚህ መስክ ውስጥ (a-z ወይም A-Z) ያሉ ፊደላትን ብቻ ይጠቀሙ።"
"Please use letters only (a-z) in this field.","እባክዎ በዚህ መስክ ውስጥ (a-z) ያሉ ፊደላትን ብቻ ይጠቀሙ።"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","እባክዎ በዚህ መስክ ውስጥ ቁጥሮችን ብቻ ይጠቀሙ። እባክዎ ባዶ ቦታዎችን ወይም ሌሎች እንደ ነቁጥ ወይም ኮማ ያሉ ቁምፊዎችን ያስወግዱ።"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","እባክዎ በዚህ መስክ ውስጥ (a-z) ያሉ ፊደላትን ወይም (0-9) ያሉ ቁጥሮችን ብቻ ይጠቀሙ። ባዶ ቦታዎች ወይም ሌሎች ቁምፊዎች አይፈቀዱም።"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","እባክዎ በዚህ መስክ ውስጥ (a-z) ያሉ ፊደላትን ወይም (0-9) ያሉ ቁጥሮችን ወይም ባዶ ቦታዎችን እና # ብቻ ይጠቀሙ።"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","እባክዎ በዚህ መስክ ውስጥ (a-z) ያሉ ፊደላትን ወይም (0-9) ያሉ ቁጥሮችን ወይም ታች ሰረዝን(፟፟_) ብቻ ይጠቀሙ፣ የመጀመሪያው ቁምፊ ፊደል መሆን አለበት። "
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","እባክዎ ይህን የቀን ቅርጸት ይጠቀሙ፦ ቀቀ/ወወ/ዓዓዓዓ። ለምሳሌ 17/03/2006 ለ17 መጋቢት፣  2006።"
"Please wait, loading...","እባክዎ ይጠብቁ፣ በመጫን ላይ..."
"Polls","የድምጽ መሰባሰቢያዎች"
"Port (25)","ፖርት (25)"
"Profiler","መገለጫ አዘጋጅ"
"Prototype Deprecation Log","የአብነት ያለመቀበል ምዝግብ"
"Request path for specified store","ለአንድ ለተለየ ሱቅ ዱካ ጠይቅ"
"Requested invalid store ""%s""","ልክ ያልሆነ ሱቅ «%s» ተጠይቋል"
"Resource is not set","ንብረት አልተዘጋጀም"
"Root Category","ስርወ ምድብ"
"SMTP settings (Windows server only)","SMTP ቅንብሮች (Windows አገልጋይ ብቻ)"
"Sales representative","የሽያጮች ተወካይ"
"Save","አስቀምጥ"
"Save Store","ሱቅ አስቀምጥ"
"Save Store View","የሱቅ እይታ አስቀምጥ"
"Save Website","የድር ጣቢያ አስቀምጥ"
"Search Engines Optimization","የፍለጋ ፕሮግራሞች ማመቻቸት"
"Secure","ደህንነቱ የተጠበቀ"
"Security","ደህንነት"
"Select Date","ቀን ምረጥ"
"Sender email","የኢሜይል ላኪ"
"Sender name","የላኪ ስም"
"Services","አገልግሎቶች"
"Session Cookie management","የክፍለጊዜ ኩኪ ማቀናበር"
"Session Lifetime, Seconds","የክፍለጊዜ የቆይታ ጊዜ፣ ሰኮንዶች"
"Session Validation Settings","የክፍለጊዜ ማረጋገጫ ቅንብሮች"
"Set as default","እንደነባሪ አዘጋጀው"
"Skin (Images / CSS)","መልክ (ምስሎች / CSS)"
"Sort order","ትእዛዝ ደርድር"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","የተጠቀሰው ቀን/ሰዓት «%1$s» የ«%2$s» ቅርጸት ጋር አይዛመድም።"
"Specify either category or product, or both.","ምድብ ወይም ምርት ወይም ሁለቱንም ይጥቀሱ።"
"Start date can't be greater than end date","የመጀመሪያ ቀን ከመጨረሻ ቀን መብለጥ አይችልም"
"Startup page","መነሻ ገጽ"
"Status","ሁኔታ"
"Store","ሱቅ"
"Store Email Addresses","የሱቅ ኢሜይል አድራሻዎች"
"Store Information","የሱቅ መረጃ"
"Store Name","የሱቅ ስም"
"Store View","የሱቅ እይታ"
"Store View Information","የሱቅ እይታ መረጃ"
"Store View Name","የሱቅ እይታ ስም"
"Store View was successfully saved","የሱቅ እይታ በተሳካ ሁኔታ ተቀምጧል"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","የሱቅ ኮድ (a-z) ያሉ ፊደላትን ወይም (0-9) ያሉ ቁጥሮችን ወይም ታች ሰረዝን(፟፟_) ብቻ መያዝ ይኖርበታል፣ የመጀመሪያው ቁምፊ ፊደል መሆን አለበት።"
"Store doesn't exist","ሱቅ የለም"
"Store view doesn't exist","የሱቅ እይታ የለም"
"Store view was successfully deleted.","የሱቅ እይታ በተሳካ ሁኔታ ተሰርዟል።"
"Store was successfully deleted.","ሱቅ በተሳካ ሁኔታ ተሰርዟል።"
"Store was successfully saved","ሱቅ በተሳካ ሁኔታ ተቀምጧል"
"Store with the same code","ተመሳሳይ ኮድ ያለው ሱቅ"
"System","ስርዓት"
"System Log File Name","የስርዓት ምዝግብ ማስታወሻ የፋይል ስም"
"Template Path Hints","የአብነት ዱካ ፍንጮች"
"Templates","አብነቶች"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","ያስገቡት %s ልክ ያልሆነ ነው። እባክዎ «http://domain.com/» ቅርጸትን የተከተለ መሆኑን እርግጠኛ ይሁኑ።"
"Themes","ገጽታዎች"
"This category and all its child elements","ይህ ምድብ እና ሁሉም ልጁ አባሎች"
"This category and its child categories only","ይህ ምድብ እና ሁሉም ልጅ ምድቦቹ ብቻ"
"This category and its products only","ይህ ምድብ እና ምርቶቹ ብቻ"
"This category only","ይሄ ምድብ ብቻ"
"This is a required field.","ይህ አስፈላጊ መስክ ነው።"
"This store cannot be deleted","ይህ ሱቅ ሊሰረዝ አይችልም"
"This store cannot be deleted.","ይህ ሱቅ ሊሰረዝ አይችልም።"
"This store view cannot be deleted","ይህ የሱቅ እይታ ሊሰረዝ አይችልም"
"This store view cannot be deleted.","ይህ የሱቅ እይታ ሊሰረዝ አይችልም።"
"This website cannot be deleted","ይህ የድር ጣቢያ ሊሰረዝ አይችልም"
"This website cannot be deleted.","ይህ የድር ጣቢያ ሊሰረዝ አይችልም።"
"This will be displayed just before body closing tag","ይህ ከbody መዝጊያ መለያ በፊት የሚታይ ይሆናል"
"This will be included before head closing tag in page HTML","ይህ በገጽ HTML ውስጥ ከhead መዝጊያ መለያ በፊት የሚካተት ይሆናል "
"Timezone","የሰዓት ሳቅ"
"Title Prefix","የርዕስ ቅድመ ቅጥያ"
"Title Suffix","የርዕስ ድህረ ቅጥያ"
"Translate Inline","በመስመር ውስጥ ተርጉም"
"Translate cache should be disabled for both Frontend and Admin inline translations","የትርጉም መሸጎጫ ለሁለቱም የተጠቃሚ በይነገጽ እና የአስተዳዳሪ የመስመር ውስጥ ትርጉም መሰናከል ይኖርበታል"
"Translations","ትርጉሞች"
"Unable to delete store view. Please, try again later.","የሱቅ እይታን መሰረዝ አልተቻለም። እባክዎ፣ ቆይተው እንደገና ይሞክሩ።"
"Unable to delete store. Please, try again later.","ሱቅ መሰረዝ አልተቻለም። እባክዎ፣ ቆይተው እንደገና ይሞክሩ።"
"Unable to delete website. Please, try again later.","የድር ጣቢያ መሰረዝ አልተቻለም። እባክዎ፣ ቆይተው እንደገና ይሞክሩ።"
"Unable to proceed. Please, try again","ለመቀጠል አልተቻለም። እባክዎ፣ እንደገና ይሞክሩ"
"Unknown scope ""%s""","የማይታወቅ ስፋት «%s»"
"Unsecure","ደህንነቱ ያልተጠበቀ"
"Url Options","የዩአርኤል አማራጮች"
"Use HTTP Only","HTTP ብቻ ተጠቀም"
"Use Secure URLs in Admin","በአስተዳዳሪ ውስጥ ደህንነቱ የተጠበቀ ዩአርኤል ተጠቀም"
"Use Secure URLs in Frontend","በተጠቃሚ በይነገጽ ውስጥ ደህንነቱ የተጠበቀ ዩአርኤል ተጠቀም"
"Use Web Server Rewrites","የድር አገልጋይ ዳግም መጻፎችን ተጠቀም"
"Use custom admin URL","ብጁ የአስተዳዳሪ ዩአርኤል ተጠቀም"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT አረጋግጥ"
"Validate HTTP_VIA","HTTP_VIA  አረጋግጥ"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR አረጋግጥ"
"Validate REMOTE_ADDR","REMOTE_ADDR አረጋግጥ"
"Values less than 60 are ignored.","ከ60 ያነሱ እሴቶች ይተዋሉ።"
"Web","ድር"
"Website","ድር ጣቢያ"
"Website Information","የድር ጣቢያ መረጃ"
"Website Name","የድር ጣቢያ ስም"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","የድር ጣቢያ ኮድ (a-z) ያሉ ፊደላትን ወይም (0-9) ያሉ ቁጥሮችን ወይም ታች ሰረዝን(፟፟_) ብቻ መያዝ ይኖርበታል፣ የመጀመሪያው ቁምፊ ፊደል መሆን አለበት።"
"Website doesn't exist","የድር ጣቢያው የለም"
"Website was successfully deleted.","የድር ጣቢያ በተሳካ ሁኔታ ተሰርዟል።"
"Website was successfully saved","የድር ጣቢያ በተሳካ ሁኔታ ተቀምጧል"
"Website with the same code","የድር ጣቢያ ከተመሳሳይ ኮድ"
"Weekend Days","የእረፍት ቀኖች"
"Welcome Text","የእንኳን ደሀና መጡ ጽሁፍ"
"Wrong number of arguments for %s","ለ%s የተሳሳት የነጋሪ እሴት ቁጥር"
"Yes","አዎ"
"Your order can not be completed at this time as there is no payment methods available for it.","ለትእዛዝዎ የሚሆኑ የክፍያ ዘዴዎች ስለሌሉ በዚህ ጊዜ ሊጠናቀቅ አይችልም።"
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","ለትእዛዝዎ የሚሆኑ የማጓጓዣ ዘዴዎች ስለሌሉ በዚህ ጊዜ ሊጠናቀቅ አይችልም። እባክዎ በማጓጓዣ አድራሻዎ ላይ አስፈላጊ የሆኑ ለውጦችን ያድርጉ።"
"Your session has been expired, you will be relogged in now.","ክፍለ ጊዜዎ አብቅቷል፣ አሁን እንደገና ይገባሉ።"
"Search","ፈልግ"
"Go","ሂድ"
"Search entire store here...","መላውን ሱቅ እዚህ ይፈልጉ፦"
"Compare Products","ምርቶችን አነጻጽር"
"Back to Main Product Info","ወደ ዋናው ምርት መረጃ ተመለሰ"
"You have no items to compare.","ምንም የሚያነጻጽሯቸው ንጥሎች የሉዎትም።"
"Clear All","ሁሉንም አጽዳ"
"Search entire store here...","መላውን ሱቅ እዚህ ይፈልጉ፦"
"Search","ፈልግ"
"About the calendar","ስለ ቀን መቁጠሪያ"
"For latest version visit: %s","በጣም ለቅርብ ጊዜው ስሪት ጉብኝት፦ %s"
"Distributed under GNU LGPL. See %s for details.","በGNU LGPL ስር የተሰራጨ።  ለዝርዝር መረጃ %s ይመልከቱ።"
"Date selection:","የቀን ምርጫ፦"
"- Use the %s, %s buttons to select year","- ዓመት ለመምረጥ %s፣ %s አዝራሮችን ይጠቀሙ"
"- Use the %s buttons to select month","- ወር ለመምረጥ %s አዝራሮችን ይጠቀሙ"
"- Hold mouse button on any of the above buttons for faster selection.","- በፍጥነት ለመምረጥ ከላይ ካሉት አዝራሮች አንዱን ትጭነው ይያዙ።"
"Time selection:","የሰዓት ምርጫ፦"
"- Click on any of the time parts to increase it","- ለመጨመር ከሰዓት አካሎቹ አንዱን ጠቅ ያድርጉ"
"- or click and drag for faster selection.","- ወይም በፍጥነት ለመምረጥ ጠቅ አድርገው ይጎትቱ።"
"Go Today","ዛሬ ይጀምሩ"
"Next month (hold for menu)","ቀጣይ ወር (ለምናሌ ተጭነው ይቆዩ)"
"Next year (hold for menu)","ቀጣይ ዓመት (ለምናሌ ተጭነው ይቆዩ)"
"Select date","ቀን ምረጥ"
"Drag to move","ለማንቀሳቀስ ይጎትቱ"
"Close","ዝጋ"
"(Shift-)Click or drag to change value","እሴት ለመለወጥ (Shift-)ጠቅ ያድርጉ ወይም ይጎትቱ"
"Time:","ሰዓት፦"
"DHTML Date/Time Selector","DHTML ቀን/ሰዓት መምረጫ"
